,date,high,low,close,open
0,2023-11-06,35288.36,34758.64,35054.59,35039.47
1,2023-11-07,35929.83,34537.87,35421.85,35054.59
2,2023-11-08,36109.43,35120.46,35638.33,35421.85
3,2023-11-09,37990.51,35557.78,36704.14,35638.33
4,2023-11-10,37536.44,36342.27,37321.51,36704.14
5,2023-11-11,37417.29,36701.83,37142.22,37321.51
6,2023-11-12,37233.45,36747.05,37079.76,37142.22
7,2023-11-13,37429.52,36358.0,36482.51,37079.76
8,2023-11-14,36752.31,34788.17,35551.21,36482.51
9,2023-11-15,37977.31,35374.22,37884.19,35551.21
10,2023-11-16,37951.14,35512.38,36162.42,37884.19
11,2023-11-17,36780.63,35873.7,36626.32,36162.42
12,2023-11-18,36853.45,36212.85,36591.19,36626.32
13,2023-11-19,37529.1,36411.61,37388.64,36591.19
14,2023-11-20,37770.11,36767.05,37476.66,37388.64
15,2023-11-21,37665.29,35753.93,35758.72,37476.66
16,2023-11-22,37866.63,35656.41,37424.2,35758.72
17,2023-11-23,37646.06,36892.34,37299.18,37424.2
18,2023-11-24,38432.07,37262.39,37737.05,37299.18
19,2023-11-25,37907.84,37616.03,37801.92,37737.05
20,2023-11-26,37829.46,37159.52,37460.21,37801.92
21,2023-11-27,37568.17,36727.3,37246.29,37460.21
22,2023-11-28,38410.41,36879.99,37836.63,37246.29
23,2023-11-29,38456.97,37589.12,37861.9,37836.63
24,2023-11-30,38149.78,37505.7,37729.58,37861.9
25,2023-12-01,38982.35,37626.12,38699.84,37729.58
26,2023-12-02,39712.52,38659.45,39469.35,38699.84
27,2023-12-03,40203.23,39288.91,39980.93,39469.35
28,2023-12-04,42399.42,39980.36,41984.41,39980.93
29,2023-12-05,44639.18,41368.51,44063.94,41984.41
